model,trial_id,source_episode_id,switched,observation,p_minus15,p_flat,p_plus15
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,2,0.011211891618240436,0.984545334935284,0.004242773446475567
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,3,0.011898793949671083,0.9783740734763289,0.009727132573999972
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,4,0.011994570774100925,0.9733350581521094,0.01467037107378962
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,5,0.01513594197520779,0.9665400713887929,0.018323986635999386
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,6,0.023066735791711042,0.9516707074847829,0.02526255672350605
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,7,0.03353737312874772,0.9356815926346369,0.030781034236615355
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,8,0.04450378326681165,0.9201935791654886,0.03530263756769984
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,9,0.05511019745040753,0.9047317794921731,0.040158023057419355
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,10,0.06459101022647401,0.8900401076755149,0.045368882098011196
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,11,0.007467088559227519,0.5752635385288566,0.4172693729119159
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,12,0.001159899192527823,0.36144720247030626,0.637392898337166
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,13,3.626980753065786e-05,0.10186964598797507,0.8980940842044942
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,14,2.0778785604912126e-07,0.0020228638725911744,0.9979769283395528
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,15,3.888704180692172e-10,1.3973859525312468e-05,0.9999860257516043
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,16,1.1452099430950964e-11,1.087637647245679e-06,0.9999989123509005
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,17,2.9316322096844744e-14,3.647954376896787e-08,0.9999999635204269
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,18,0.000183755026053496,0.9993420429956293,0.0004742019783171668
